epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.134,2.0396,2.41641,1.75617,0.45668,0.33167,0.32888,0.12172,1.0333,3.01859,0.9327,0.0670493,0.000332836,0.000332836
2,263.435,1.96315,1.99602,1.7105,0.44002,0.40299,0.36303,0.14165,0.98998,1.64007,0.94066,0.0340427,0.000659574,0.000659574
3,392.362,1.91032,1.88622,1.667,0.5133,0.46698,0.46451,0.19479,0.90278,16.1685,0.8212,0.00102946,0.000979712,0.000979712
4,521.964,1.87303,1.79493,1.63854,0.6128,0.56167,0.56416,0.23074,0.91189,7.40432,0.811,0.0009703,0.0009703,0.0009703
5,652.525,1.80386,1.66614,1.58713,0.62453,0.60862,0.6171,0.24297,0.91493,4.45182,0.8231,0.0009604,0.0009604,0.0009604
6,780.329,1.7859,1.60768,1.56545,0.68727,0.6378,0.65372,0.28848,0.87479,1.53496,0.77772,0.0009505,0.0009505,0.0009505
7,908.882,1.74854,1.55934,1.54337,0.70713,0.64511,0.69425,0.30561,0.8599,3.23878,0.77962,0.0009406,0.0009406,0.0009406
8,1038.37,1.73354,1.50395,1.53202,0.67993,0.63516,0.67672,0.30152,0.81519,2.95771,0.74982,0.0009307,0.0009307,0.0009307
9,1168.82,1.71576,1.47612,1.52404,0.67881,0.66335,0.70534,0.34406,0.80538,4.79258,0.74052,0.0009208,0.0009208,0.0009208
10,1296.83,1.69472,1.43609,1.50027,0.72541,0.65506,0.7136,0.31957,0.84388,3.35203,0.7542,0.0009109,0.0009109,0.0009109
11,1426.42,1.68357,1.39494,1.48635,0.78576,0.68988,0.77649,0.36464,0.81465,2.41812,0.75145,0.000901,0.000901,0.000901
12,1558.31,1.64865,1.37245,1.47353,0.75344,0.674,0.74109,0.34825,0.84321,1.89025,0.76431,0.0008911,0.0008911,0.0008911
13,1686.64,1.64304,1.3362,1.45759,0.75784,0.71102,0.76549,0.35921,0.82178,1.23659,0.74136,0.0008812,0.0008812,0.0008812
14,1815.15,1.62797,1.31199,1.44372,0.71826,0.75124,0.76994,0.36352,0.78891,4.69788,0.72091,0.0008713,0.0008713,0.0008713
15,1943.76,1.62126,1.28923,1.44215,0.7917,0.70315,0.78632,0.39504,0.7762,1.11729,0.70517,0.0008614,0.0008614,0.0008614
16,2073.64,1.61937,1.26996,1.43763,0.75834,0.75456,0.79578,0.38224,0.78301,2.1903,0.71781,0.0008515,0.0008515,0.0008515
17,2202.25,1.58198,1.24505,1.41292,0.80962,0.74793,0.82066,0.40391,0.77442,2.12005,0.70141,0.0008416,0.0008416,0.0008416
18,2331.93,1.57445,1.24268,1.40702,0.81068,0.73134,0.80261,0.3919,0.80275,1.5952,0.73068,0.0008317,0.0008317,0.0008317
