epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.113,2.01219,2.51904,1.70787,0.49768,0.36318,0.35963,0.15027,0.93908,4.44976,0.84945,0.0667497,3.32836e-05,3.32836e-05
2,265.96,1.86222,1.90375,1.53799,0.56158,0.48007,0.48477,0.18805,0.90704,1.38488,0.81822,0.033449,6.59574e-05,6.59574e-05
3,396.005,1.75302,1.65248,1.45054,0.70949,0.66019,0.72814,0.32784,0.77865,2.78935,0.68115,0.000147722,9.79712e-05,9.79712e-05
4,526.644,1.69785,1.53461,1.41577,0.73221,0.70286,0.74479,0.33238,0.78126,1.06031,0.67985,9.703e-05,9.703e-05,9.703e-05
5,657.525,1.64978,1.43006,1.37723,0.75436,0.70481,0.75893,0.34746,0.77163,2.13723,0.66897,9.604e-05,9.604e-05,9.604e-05
6,787.525,1.63261,1.39099,1.36109,0.73518,0.72305,0.75977,0.35999,0.76213,1.62275,0.66476,9.505e-05,9.505e-05,9.505e-05
7,917.728,1.6142,1.35863,1.35211,0.79741,0.72471,0.78682,0.3721,0.78214,0.87717,0.68692,9.406e-05,9.406e-05,9.406e-05
8,1047.53,1.59876,1.30703,1.33302,0.79928,0.76285,0.81099,0.3728,0.76237,2.48062,0.66698,9.307e-05,9.307e-05,9.307e-05
9,1177.85,1.57233,1.28504,1.32276,0.78246,0.77778,0.82299,0.40052,0.74435,0.78658,0.65344,9.208e-05,9.208e-05,9.208e-05
10,1307.09,1.55731,1.25179,1.31517,0.81366,0.72968,0.81201,0.39192,0.75785,1.07338,0.6667,9.109e-05,9.109e-05,9.109e-05
11,1437.49,1.55012,1.21157,1.30287,0.82102,0.76836,0.82535,0.41541,0.74372,0.91984,0.65642,9.01e-05,9.01e-05,9.01e-05
12,1567.83,1.5124,1.19466,1.29604,0.80635,0.76617,0.81567,0.41121,0.75919,0.7611,0.66125,8.911e-05,8.911e-05,8.911e-05
13,1696.49,1.51568,1.16534,1.28766,0.8306,0.79436,0.85111,0.41983,0.75948,0.63897,0.65235,8.812e-05,8.812e-05,8.812e-05
14,1827.88,1.5031,1.14444,1.27613,0.78868,0.79934,0.8465,0.40864,0.77438,1.22643,0.65958,8.713e-05,8.713e-05,8.713e-05
15,1958.18,1.50617,1.12827,1.27511,0.83297,0.78569,0.84331,0.4294,0.75289,0.7034,0.66492,8.614e-05,8.614e-05,8.614e-05
16,2087.86,1.48699,1.0998,1.26632,0.83203,0.78939,0.84894,0.44081,0.73842,0.72134,0.65019,8.515e-05,8.515e-05,8.515e-05
17,2217.88,1.46364,1.08412,1.24884,0.8269,0.78773,0.84079,0.44373,0.73412,1.15055,0.64196,8.416e-05,8.416e-05,8.416e-05
