epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.586,1.94222,3.84254,1.66248,0.46995,0.31509,0.33,0.12626,0.80764,12.7355,0.72283,0.0670493,0.000332836,0.000332836
2,285.58,1.86049,2.47114,1.54754,0.59153,0.52902,0.54582,0.23912,0.80527,4.52002,0.69756,0.0340427,0.000659574,0.000659574
3,429.266,1.78355,1.91743,1.46878,0.6932,0.59202,0.66292,0.28896,0.81536,4.07618,0.70629,0.00102946,0.000979712,0.000979712
4,572.128,1.74344,1.76766,1.43381,0.69409,0.66335,0.70186,0.32662,0.79235,2.69234,0.67943,0.0009703,0.0009703,0.0009703
5,715.977,1.68528,1.62943,1.39268,0.68223,0.6733,0.71241,0.30244,0.8025,2.18489,0.68725,0.0009604,0.0009604,0.0009604
6,858.455,1.65434,1.56334,1.37078,0.72236,0.71624,0.73905,0.35492,0.77977,1.45947,0.67681,0.0009505,0.0009505,0.0009505
7,999.854,1.63055,1.50422,1.35463,0.73507,0.75456,0.76952,0.3577,0.76854,2.45397,0.67385,0.0009406,0.0009406,0.0009406
8,1144.37,1.61243,1.45232,1.33749,0.76557,0.73111,0.78216,0.38469,0.73287,2.04523,0.64006,0.0009307,0.0009307,0.0009307
9,1288.01,1.58994,1.41779,1.32051,0.79986,0.72903,0.79471,0.39261,0.75568,1.03808,0.64712,0.0009208,0.0009208,0.0009208
10,1430.21,1.56832,1.36558,1.30629,0.80618,0.73134,0.81289,0.39669,0.73601,1.35429,0.64634,0.0009109,0.0009109,0.0009109
11,1574.54,1.55539,1.32682,1.29593,0.80361,0.79934,0.83642,0.42504,0.71777,1.54722,0.6361,0.000901,0.000901,0.000901
12,1717.66,1.52908,1.30423,1.2889,0.83015,0.75456,0.8295,0.41776,0.74586,1.02636,0.65006,0.0008911,0.0008911,0.0008911
13,1861.88,1.52618,1.27395,1.27726,0.83501,0.76949,0.83645,0.41946,0.74615,0.91107,0.64278,0.0008812,0.0008812,0.0008812
14,2004.74,1.51028,1.24137,1.26413,0.85264,0.77722,0.85029,0.43465,0.73519,1.58503,0.64513,0.0008713,0.0008713,0.0008713
15,2149.99,1.49888,1.22681,1.25991,0.83212,0.801,0.84462,0.43834,0.72468,1.02246,0.63299,0.0008614,0.0008614,0.0008614
16,2292.05,1.49227,1.20475,1.25801,0.81479,0.81924,0.86202,0.44322,0.72099,1.16628,0.62826,0.0008515,0.0008515,0.0008515
17,2432.59,1.47194,1.1758,1.24688,0.83685,0.81592,0.85834,0.4588,0.7181,1.11396,0.63391,0.0008416,0.0008416,0.0008416
18,2579.44,1.46056,1.17672,1.24197,0.85575,0.81655,0.8679,0.44997,0.72711,0.99099,0.62663,0.0008317,0.0008317,0.0008317
19,2744.11,1.45371,1.16257,1.23347,0.86301,0.79602,0.87359,0.46088,0.70894,1.44418,0.62101,0.0008218,0.0008218,0.0008218
20,2933.69,1.43601,1.14283,1.23062,0.82264,0.79994,0.86483,0.46437,0.71223,0.79853,0.62204,0.0008119,0.0008119,0.0008119
21,3120.75,1.43178,1.13383,1.2229,0.84053,0.82163,0.87038,0.45176,0.72159,0.96037,0.62356,0.000802,0.000802,0.000802
22,3317.24,1.41968,1.10772,1.21894,0.87919,0.80862,0.88575,0.46499,0.7054,1.06827,0.62655,0.0007921,0.0007921,0.0007921
23,3476.03,1.40767,1.09004,1.21005,0.88196,0.81426,0.87625,0.46435,0.71282,0.88028,0.6234,0.0007822,0.0007822,0.0007822
24,3616.18,1.40652,1.07888,1.20343,0.86978,0.84183,0.89283,0.47668,0.70492,0.82129,0.61863,0.0007723,0.0007723,0.0007723
25,3755.58,1.39716,1.0738,1.20019,0.8679,0.84982,0.89645,0.48096,0.70602,0.84928,0.61667,0.0007624,0.0007624,0.0007624
26,3899.01,1.38673,1.06523,1.20131,0.91828,0.81592,0.90322,0.49169,0.69956,0.60941,0.61169,0.0007525,0.0007525,0.0007525
27,4039.27,1.3762,1.03699,1.19093,0.87341,0.83914,0.8772,0.47823,0.70444,0.61155,0.61797,0.0007426,0.0007426,0.0007426
28,4179.51,1.36826,1.0284,1.18106,0.89206,0.80929,0.88908,0.47795,0.72018,0.6834,0.62765,0.0007327,0.0007327,0.0007327
29,4321.72,1.35809,1.01743,1.18631,0.89686,0.82195,0.88259,0.49655,0.68667,0.99593,0.61471,0.0007228,0.0007228,0.0007228
30,4456.49,1.35698,1.01264,1.18459,0.90437,0.82255,0.89367,0.48879,0.68829,0.81304,0.61493,0.0007129,0.0007129,0.0007129
31,4597.73,1.34711,0.99028,1.17621,0.88345,0.8408,0.89644,0.49662,0.68381,0.74256,0.61,0.000703,0.000703,0.000703
32,4737.07,1.34167,0.99011,1.17481,0.89886,0.84411,0.90102,0.49242,0.69023,0.66598,0.61091,0.0006931,0.0006931,0.0006931
33,4880.38,1.32634,0.9813,1.16996,0.88438,0.84988,0.9061,0.50023,0.68401,0.75008,0.60587,0.0006832,0.0006832,0.0006832
34,5019.41,1.31892,0.96476,1.16305,0.88334,0.82881,0.89507,0.49012,0.69388,0.58765,0.61444,0.0006733,0.0006733,0.0006733
35,5157.24,1.31779,0.95842,1.16257,0.86195,0.85075,0.89292,0.49655,0.69293,0.55141,0.61386,0.0006634,0.0006634,0.0006634
36,5296.9,1.31153,0.95005,1.15573,0.88798,0.83914,0.89477,0.49954,0.69322,0.53245,0.60833,0.0006535,0.0006535,0.0006535
37,5436.25,1.31349,0.95148,1.15849,0.8762,0.8568,0.89707,0.50384,0.68329,0.51472,0.60074,0.0006436,0.0006436,0.0006436
38,5573,1.29615,0.93349,1.14985,0.89254,0.83416,0.89876,0.50486,0.68076,0.49222,0.60359,0.0006337,0.0006337,0.0006337
39,5714.74,1.28503,0.93298,1.14151,0.88099,0.84711,0.89987,0.50474,0.67695,0.52104,0.60265,0.0006238,0.0006238,0.0006238
40,5851.07,1.28598,0.93446,1.14779,0.87939,0.87396,0.90438,0.5082,0.67967,0.53256,0.60754,0.0006139,0.0006139,0.0006139
41,5986.92,1.29404,0.92878,1.14419,0.88535,0.84522,0.90005,0.50184,0.67702,0.52371,0.6093,0.000604,0.000604,0.000604
42,6122.58,1.2676,0.90873,1.13765,0.87788,0.85832,0.90278,0.5028,0.67658,0.55541,0.60798,0.0005941,0.0005941,0.0005941
43,6260.05,1.27337,0.91016,1.13807,0.88793,0.85403,0.90171,0.50007,0.68298,0.67359,0.60564,0.0005842,0.0005842,0.0005842
44,6396.03,1.26187,0.89633,1.13468,0.88762,0.84743,0.90529,0.50117,0.68584,0.58519,0.61282,0.0005743,0.0005743,0.0005743
45,6533.39,1.25492,0.89075,1.13285,0.89431,0.85572,0.90489,0.50312,0.68291,0.52611,0.6074,0.0005644,0.0005644,0.0005644
46,6670.21,1.2498,0.89383,1.12938,0.88908,0.85738,0.90099,0.51299,0.67903,0.54703,0.60723,0.0005545,0.0005545,0.0005545
47,6804.43,1.25022,0.87703,1.12259,0.89456,0.84416,0.90124,0.50589,0.67806,0.57886,0.60305,0.0005446,0.0005446,0.0005446
48,6939.92,1.24594,0.88,1.12689,0.90286,0.84909,0.90333,0.50784,0.67362,0.52687,0.60489,0.0005347,0.0005347,0.0005347
49,7078.11,1.23682,0.86559,1.12177,0.89615,0.84245,0.89676,0.50692,0.68071,0.53115,0.60823,0.0005248,0.0005248,0.0005248
50,7213.71,1.23424,0.87168,1.11753,0.88977,0.84577,0.89522,0.50648,0.67405,0.51486,0.6021,0.0005149,0.0005149,0.0005149
51,7348.9,1.21978,0.86047,1.11684,0.8898,0.84356,0.90097,0.50896,0.68208,0.55706,0.60494,0.000505,0.000505,0.000505
52,7486.01,1.22589,0.86244,1.11375,0.8929,0.85406,0.91286,0.51574,0.67377,0.47878,0.59798,0.0004951,0.0004951,0.0004951
53,7624.33,1.2214,0.84185,1.11172,0.89133,0.86401,0.90637,0.51558,0.66986,0.4793,0.59578,0.0004852,0.0004852,0.0004852
54,7763.48,1.21291,0.84587,1.1105,0.8863,0.85572,0.89955,0.51112,0.68102,0.50125,0.60438,0.0004753,0.0004753,0.0004753
55,7898.01,1.21305,0.84319,1.1096,0.90339,0.85075,0.89751,0.5118,0.6786,0.57914,0.60496,0.0004654,0.0004654,0.0004654
56,8038.62,1.20807,0.83325,1.10223,0.89827,0.84411,0.89871,0.51468,0.67675,0.52593,0.60804,0.0004555,0.0004555,0.0004555
57,8173.99,1.19543,0.83593,1.09998,0.90296,0.86419,0.90803,0.52082,0.66764,0.48076,0.60188,0.0004456,0.0004456,0.0004456
58,8312.44,1.19754,0.83415,1.09824,0.90835,0.85471,0.90551,0.51978,0.67228,0.44874,0.60698,0.0004357,0.0004357,0.0004357
59,8450.8,1.18082,0.81533,1.09026,0.90294,0.84855,0.90325,0.5222,0.67319,0.4599,0.60371,0.0004258,0.0004258,0.0004258
60,8586.05,1.1863,0.81989,1.09556,0.90159,0.85079,0.90147,0.51982,0.67288,0.45918,0.6038,0.0004159,0.0004159,0.0004159
