epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.637,2.04389,2.42028,1.75745,0.36052,0.26866,0.21225,0.06664,1.10237,26.1345,1.1265,0.0670493,0.000332836,0.000332836
2,277.523,1.96035,1.9707,1.70293,0.45483,0.48425,0.39767,0.15898,0.94207,4.20612,0.85423,0.0340427,0.000659574,0.000659574
3,408.14,1.91887,1.88476,1.68122,0.59508,0.46103,0.50857,0.20638,0.94307,9.7026,0.87884,0.00102946,0.000979712,0.000979712
4,540.149,1.88036,1.79352,1.65468,0.62697,0.5058,0.54246,0.21104,0.91405,12.6993,0.82402,0.0009703,0.0009703,0.0009703
5,671.549,1.81401,1.68522,1.61375,0.67629,0.53068,0.59181,0.22619,0.93576,4.776,0.84492,0.0009604,0.0009604,0.0009604
6,801.662,1.79528,1.62219,1.58315,0.70321,0.58209,0.63355,0.26943,0.87295,2.49697,0.7879,0.0009505,0.0009505,0.0009505
7,931.499,1.76945,1.56944,1.56274,0.66665,0.6136,0.63867,0.25494,0.87564,3.70586,0.81282,0.0009406,0.0009406,0.0009406
8,1063.34,1.74704,1.53199,1.5503,0.64894,0.65506,0.65955,0.29324,0.8342,5.73189,0.75845,0.0009307,0.0009307,0.0009307
9,1197.06,1.73191,1.49748,1.53626,0.66132,0.66706,0.68255,0.30116,0.8428,5.19318,0.76706,0.0009208,0.0009208,0.0009208
10,1326.78,1.70439,1.45699,1.51703,0.65426,0.68159,0.64635,0.27325,0.84453,7.13079,0.77512,0.0009109,0.0009109,0.0009109
11,1459.19,1.69649,1.42894,1.51004,0.69873,0.68988,0.7334,0.33875,0.80174,3.26008,0.74229,0.000901,0.000901,0.000901
12,1590.37,1.66389,1.39661,1.4978,0.76904,0.68471,0.75418,0.33803,0.82143,2.3685,0.76566,0.0008911,0.0008911,0.0008911
13,1721.23,1.66436,1.36311,1.48722,0.80068,0.69154,0.76946,0.35897,0.82219,1.87203,0.75566,0.0008812,0.0008812,0.0008812
14,1852.3,1.6472,1.34566,1.47469,0.69963,0.7131,0.73164,0.31291,0.84487,4.6737,0.77574,0.0008713,0.0008713,0.0008713
15,1983.93,1.63925,1.33692,1.47448,0.79191,0.68988,0.773,0.35596,0.7995,1.51151,0.74249,0.0008614,0.0008614,0.0008614
16,2117.58,1.63735,1.32028,1.47078,0.76605,0.71677,0.78967,0.36555,0.7954,2.15975,0.72977,0.0008515,0.0008515,0.0008515
17,2248.46,1.60828,1.28417,1.44563,0.76872,0.75517,0.79664,0.38966,0.7946,2.21943,0.72836,0.0008416,0.0008416,0.0008416
18,2379.98,1.60065,1.27745,1.44541,0.76965,0.72968,0.78957,0.37967,0.80463,2.40662,0.73449,0.0008317,0.0008317,0.0008317
19,2509.79,1.60228,1.26808,1.43794,0.76151,0.73798,0.80335,0.39369,0.78099,3.45213,0.7178,0.0008218,0.0008218,0.0008218
20,2641.55,1.57807,1.25269,1.42702,0.77467,0.76949,0.81401,0.40384,0.76481,2.80672,0.71186,0.0008119,0.0008119,0.0008119
21,2770.72,1.57715,1.24434,1.42421,0.79398,0.7222,0.79899,0.39699,0.77366,2.32786,0.71348,0.000802,0.000802,0.000802
22,2902.2,1.56399,1.22355,1.42334,0.81588,0.74793,0.80929,0.39954,0.78654,1.77309,0.72491,0.0007921,0.0007921,0.0007921
23,3033.51,1.55383,1.1959,1.41671,0.83033,0.77114,0.82663,0.40833,0.78089,0.95307,0.71458,0.0007822,0.0007822,0.0007822
24,3162.88,1.55284,1.18775,1.41007,0.81459,0.71404,0.79401,0.41737,0.74859,1.44516,0.70633,0.0007723,0.0007723,0.0007723
25,3292.9,1.53954,1.17616,1.39456,0.82036,0.75732,0.82244,0.40613,0.77998,1.01652,0.71375,0.0007624,0.0007624,0.0007624
26,3424.34,1.5234,1.16055,1.39388,0.83299,0.74461,0.82763,0.41316,0.7821,0.76534,0.72108,0.0007525,0.0007525,0.0007525
27,3561,1.5211,1.13931,1.38325,0.85268,0.7679,0.84537,0.43226,0.76081,0.97066,0.70489,0.0007426,0.0007426,0.0007426
28,3693.65,1.51186,1.12572,1.37648,0.84562,0.78109,0.8479,0.43215,0.76753,1.22024,0.71335,0.0007327,0.0007327,0.0007327
29,3827.57,1.50492,1.1307,1.38008,0.83204,0.76404,0.83511,0.43003,0.7443,1.17073,0.69651,0.0007228,0.0007228,0.0007228
30,3960.91,1.5052,1.11662,1.37742,0.8379,0.7458,0.82811,0.42667,0.76201,0.73694,0.71106,0.0007129,0.0007129,0.0007129
31,4094.37,1.48515,1.08451,1.36825,0.81715,0.78109,0.83921,0.45227,0.74104,0.84939,0.69185,0.000703,0.000703,0.000703
32,4226.81,1.48561,1.08309,1.36482,0.86169,0.74461,0.84522,0.43395,0.76079,0.86943,0.70639,0.0006931,0.0006931,0.0006931
33,4360.31,1.47829,1.08078,1.36275,0.84303,0.80161,0.8557,0.43895,0.74782,0.82362,0.7008,0.0006832,0.0006832,0.0006832
34,4492.25,1.46231,1.07384,1.3534,0.83716,0.79602,0.87074,0.45558,0.73892,1.1237,0.69396,0.0006733,0.0006733,0.0006733
35,4623.62,1.45681,1.05471,1.34958,0.86302,0.78366,0.86389,0.45188,0.74776,0.72483,0.69779,0.0006634,0.0006634,0.0006634
36,4768.82,1.45338,1.04497,1.33999,0.83801,0.78607,0.86277,0.45667,0.74918,0.86604,0.69813,0.0006535,0.0006535,0.0006535
