epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.146,2.00619,2.42843,1.70841,0.45396,0.30348,0.30535,0.1091,1.05418,2.66932,0.97398,0.0668828,0.000166418,0.000166418
2,331.059,1.87959,1.85662,1.59824,0.58551,0.51575,0.53199,0.22023,0.93531,2.4199,0.84409,0.0337129,0.000329787,0.000329787
3,486.085,1.82502,1.73342,1.55771,0.60687,0.57214,0.59516,0.25737,0.85048,6.16728,0.75507,0.000539607,0.000489856,0.000489856
4,645.735,1.78381,1.65449,1.53752,0.69138,0.62785,0.67814,0.27707,0.879,3.22459,0.79115,0.00048515,0.00048515,0.00048515
5,810.506,1.72962,1.5447,1.49136,0.66034,0.58706,0.62179,0.25637,0.88631,3.64856,0.79548,0.0004802,0.0004802,0.0004802
6,968.744,1.71788,1.49724,1.4762,0.70652,0.63184,0.69332,0.32128,0.81694,1.86901,0.73442,0.00047525,0.00047525,0.00047525
7,1129.6,1.68697,1.45361,1.46395,0.67958,0.68325,0.71941,0.33145,0.81446,2.65577,0.73496,0.0004703,0.0004703,0.0004703
8,1280.12,1.66971,1.41011,1.44338,0.69748,0.69652,0.69911,0.31041,0.81578,3.14422,0.72825,0.00046535,0.00046535,0.00046535
9,1417.54,1.6472,1.38012,1.42625,0.69917,0.71144,0.73478,0.34489,0.78964,1.91059,0.71619,0.0004604,0.0004604,0.0004604
10,1557.33,1.63032,1.33917,1.4133,0.71528,0.71243,0.73022,0.34347,0.7825,1.31529,0.72307,0.00045545,0.00045545,0.00045545
11,1695.97,1.62145,1.2988,1.41066,0.77694,0.72803,0.77516,0.39314,0.76247,2.26083,0.69832,0.0004505,0.0004505,0.0004505
12,1834.77,1.58938,1.27383,1.39942,0.77653,0.74295,0.793,0.37501,0.79604,1.02449,0.71473,0.00044555,0.00044555,0.00044555
13,1970.91,1.5837,1.24777,1.38496,0.78037,0.75622,0.80801,0.39636,0.77226,1.51017,0.69116,0.0004406,0.0004406,0.0004406
14,2112.62,1.56508,1.22144,1.36884,0.72972,0.75954,0.79008,0.37897,0.78181,5.1868,0.70508,0.00043565,0.00043565,0.00043565
15,2250.3,1.56679,1.2131,1.36649,0.81713,0.7529,0.81111,0.3804,0.8044,1.73876,0.72104,0.0004307,0.0004307,0.0004307
16,2389.7,1.55803,1.19072,1.36164,0.78233,0.75124,0.81498,0.41029,0.75501,1.20805,0.69608,0.00042575,0.00042575,0.00042575
17,2525.63,1.53388,1.16143,1.3417,0.81431,0.75636,0.81984,0.42119,0.7595,0.82012,0.6855,0.0004208,0.0004208,0.0004208
18,2663.93,1.5173,1.15782,1.33484,0.82553,0.76617,0.83551,0.40962,0.78108,0.82123,0.68795,0.00041585,0.00041585,0.00041585
19,2799.9,1.5182,1.1452,1.33175,0.80473,0.78594,0.84554,0.41829,0.76548,1.81596,0.68377,0.0004109,0.0004109,0.0004109
20,2944.2,1.49777,1.12571,1.3204,0.85494,0.78773,0.85159,0.44211,0.7455,0.86606,0.67078,0.00040595,0.00040595,0.00040595
21,3079.54,1.49504,1.11515,1.32211,0.82619,0.80403,0.84937,0.43948,0.756,1.1888,0.67447,0.000401,0.000401,0.000401
22,3221.5,1.47734,1.08733,1.3178,0.81612,0.78607,0.83682,0.42732,0.74929,1.10047,0.6856,0.00039605,0.00039605,0.00039605
23,3357.87,1.48011,1.07397,1.31113,0.82822,0.79602,0.84856,0.44644,0.75168,1.09762,0.67353,0.0003911,0.0003911,0.0003911
24,3495.6,1.46649,1.05978,1.3021,0.82315,0.83085,0.86391,0.4475,0.73196,1.22479,0.66918,0.00038615,0.00038615,0.00038615
25,3631.86,1.4555,1.05385,1.29182,0.83691,0.8126,0.86325,0.44634,0.75253,0.84259,0.67395,0.0003812,0.0003812,0.0003812
26,3771.06,1.43651,1.0459,1.28988,0.838,0.82356,0.87455,0.46958,0.72222,0.69929,0.6617,0.00037625,0.00037625,0.00037625
27,3909.76,1.42407,1.0227,1.2793,0.8568,0.81924,0.86659,0.45722,0.7317,1.07061,0.67081,0.0003713,0.0003713,0.0003713
28,4047.91,1.42361,1.00772,1.2704,0.86917,0.80763,0.86037,0.45863,0.73889,1.03741,0.66446,0.00036635,0.00036635,0.00036635
29,4185.8,1.41354,1.00175,1.26856,0.86278,0.8209,0.87207,0.4599,0.73196,0.95923,0.66305,0.0003614,0.0003614,0.0003614
30,4322.87,1.41443,0.98474,1.26922,0.82623,0.80265,0.86011,0.4518,0.73853,0.99702,0.66833,0.00035645,0.00035645,0.00035645
31,4462.38,1.39417,0.9765,1.25998,0.85881,0.79688,0.86733,0.46953,0.72165,0.92799,0.6577,0.0003515,0.0003515,0.0003515
32,4599.1,1.39181,0.97053,1.25911,0.85292,0.78441,0.87597,0.47478,0.72291,0.70966,0.65498,0.00034655,0.00034655,0.00034655
33,4739.94,1.38473,0.96147,1.25083,0.85987,0.82255,0.88628,0.4866,0.71908,0.6321,0.65287,0.0003416,0.0003416,0.0003416
34,4879.14,1.36465,0.94786,1.23906,0.85973,0.80431,0.87466,0.46975,0.71779,0.9483,0.65794,0.00033665,0.00033665,0.00033665
35,5016.37,1.3587,0.9348,1.23686,0.85506,0.83416,0.88874,0.46734,0.73372,0.68106,0.66778,0.0003317,0.0003317,0.0003317
36,5152.32,1.3547,0.92441,1.22852,0.84545,0.82255,0.88152,0.47171,0.72554,0.80936,0.66362,0.00032675,0.00032675,0.00032675
37,5292.87,1.35665,0.92621,1.23054,0.84725,0.85406,0.88953,0.48301,0.70621,0.86063,0.654,0.0003218,0.0003218,0.0003218
38,5431.94,1.3403,0.91211,1.22009,0.86412,0.84909,0.89996,0.48775,0.7047,0.83241,0.6488,0.00031685,0.00031685,0.00031685
39,5569.88,1.33124,0.90658,1.21925,0.86073,0.85069,0.88732,0.48541,0.70352,0.74437,0.65504,0.0003119,0.0003119,0.0003119
40,5710.23,1.32702,0.89635,1.21802,0.88593,0.83717,0.89643,0.48727,0.71781,0.76195,0.66754,0.00030695,0.00030695,0.00030695
41,5846.7,1.32777,0.90117,1.20929,0.87177,0.84411,0.90319,0.5017,0.68972,0.59377,0.64271,0.000302,0.000302,0.000302
42,5987.82,1.30946,0.88141,1.20485,0.88257,0.83582,0.89689,0.4954,0.71068,0.63398,0.65585,0.00029705,0.00029705,0.00029705
43,6126.02,1.3122,0.87656,1.20421,0.87085,0.86101,0.90001,0.49964,0.69847,0.78346,0.64753,0.0002921,0.0002921,0.0002921
44,6262.6,1.29806,0.86938,1.20071,0.86157,0.84245,0.90468,0.49834,0.70369,0.57299,0.64868,0.00028715,0.00028715,0.00028715
