epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.168,3.10644,4.02665,3.20502,0.00498,0.08458,0.00338,0.00097,1.7763,14.0095,3.28989,0.0670493,0.000332836,0.000332836
2,280.334,2.9392,3.75066,2.87332,0.00184,0.12604,0.00131,0.00031,1.63692,263.664,1.98003,0.0340427,0.000659574,0.000659574
3,417.064,2.86414,3.68138,2.75114,0.00167,0.12438,0.0005,0.00013,1.70607,212.208,1.72426,0.00102946,0.000979712,0.000979712
4,556.206,2.80586,3.55053,2.67859,0.00236,0.21227,0.00144,0.00033,1.5191,344.464,1.47317,0.0009703,0.0009703,0.0009703
5,692.431,2.72792,3.43661,2.60365,0.05319,0.02322,0.00656,0.00172,1.49433,510.791,1.42787,0.0009604,0.0009604,0.0009604
6,825.813,2.68005,3.35279,2.5633,0.00394,0.0398,0.00174,0.00042,1.57129,24.1526,1.48865,0.0009505,0.0009505,0.0009505
7,957.43,2.64137,3.30824,2.52431,0.00797,0.267,0.0107,0.00286,1.44324,6.92009,1.29449,0.0009406,0.0009406,0.0009406
8,1093.17,2.62018,3.19866,2.47093,0.0234,0.09784,0.00774,0.00213,1.40835,270.725,1.38255,0.0009307,0.0009307,0.0009307
9,1227.06,2.59243,3.18091,2.46189,0.03854,0.00829,0.00195,0.00047,1.92403,3.35921,2.11378,0.0009208,0.0009208,0.0009208
10,1361.86,2.5765,3.1082,2.43064,0.01878,0.02819,0.00199,0.00037,1.87867,43.8916,1.87366,0.0009109,0.0009109,0.0009109
11,1496.98,2.53396,3.05662,2.40041,0.07367,0.12438,0.05694,0.01971,1.36334,2.66265,1.29064,0.000901,0.000901,0.000901
12,1632.33,2.52636,3.03541,2.40188,0.16054,0.11111,0.06314,0.01593,1.33955,478.646,1.44428,0.0008911,0.0008911,0.0008911
13,1767.3,2.49896,2.98611,2.37248,0.20579,0.17247,0.08556,0.02857,1.20836,5.6977,1.14562,0.0008812,0.0008812,0.0008812
14,1902.95,2.47908,2.97579,2.36241,0.0181,0.05638,0.00267,0.00067,1.55945,160.306,1.66944,0.0008713,0.0008713,0.0008713
15,2040.14,2.49843,2.95253,2.36437,0.01892,0.01824,0.00142,0.00034,1.76143,7699.27,2.30064,0.0008614,0.0008614,0.0008614
16,2174.35,2.47194,2.90741,2.34535,0.07249,0.10614,0.02452,0.00579,1.51871,88.1476,1.6731,0.0008515,0.0008515,0.0008515
17,2305.7,2.4533,2.87164,2.31706,0.07488,0.10116,0.03004,0.00822,1.50754,10.275,1.46479,0.0008416,0.0008416,0.0008416
18,2438.93,2.43243,2.8514,2.31575,0.00256,0.2869,0.00197,0.00069,1.51866,18.8247,1.43617,0.0008317,0.0008317,0.0008317
19,2569.1,2.437,2.82772,2.30163,0.06806,0.15091,0.04496,0.01545,1.36548,2.45184,1.27294,0.0008218,0.0008218,0.0008218
20,2702.84,2.40848,2.78047,2.27729,0.06913,0.08126,0.02586,0.00878,1.22546,297.871,1.1627,0.0008119,0.0008119,0.0008119
21,2835.35,2.40127,2.79347,2.27317,0.01894,0.04312,0.00399,0.00099,1.40853,5232.03,1.40402,0.000802,0.000802,0.000802
22,2970.5,2.40426,2.75513,2.27564,0.02095,0.07629,0.00528,0.00151,1.39332,1680.55,1.29316,0.0007921,0.0007921,0.0007921
23,3101.11,2.37802,2.73169,2.25968,0.21112,0.10779,0.0795,0.02725,1.33167,2.19166,1.2693,0.0007822,0.0007822,0.0007822
