epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.864,1.91873,3.12228,1.62475,0.62271,0.49254,0.53546,0.22655,0.84734,6.10744,0.74169,0.0683806,0.00166418,0.00166418
2,288.764,1.83599,1.9717,1.52113,0.57722,0.54561,0.51377,0.19856,0.89755,5.53975,0.77547,0.036681,0.00329787,0.00329787
3,440.912,1.86069,1.90598,1.53845,0.5219,0.50415,0.4966,0.19911,0.88972,7.3466,0.78957,0.00494831,0.00489856,0.00489856
4,590.742,1.90101,1.93747,1.59023,0.50007,0.47927,0.45437,0.18478,0.89761,6.13834,0.78939,0.0048515,0.0048515,0.0048515
5,734.223,1.83594,1.80887,1.55503,0.67453,0.51575,0.56872,0.22399,0.92788,9.94772,0.81646,0.004802,0.004802,0.004802
6,877.091,1.81323,1.7301,1.52969,0.66597,0.57214,0.60208,0.25489,0.86309,1.99188,0.77174,0.0047525,0.0047525,0.0047525
7,1021.7,1.78627,1.66804,1.52183,0.67901,0.59204,0.62498,0.26838,0.86787,4.07985,0.78634,0.004703,0.004703,0.004703
8,1168.4,1.76194,1.58879,1.48573,0.68224,0.61692,0.63601,0.27325,0.86206,2.76359,0.74944,0.0046535,0.0046535,0.0046535
9,1307.67,1.73405,1.55797,1.47623,0.74928,0.64511,0.71802,0.33757,0.78783,1.50539,0.71558,0.004604,0.004604,0.004604
10,1446.07,1.71104,1.49941,1.4579,0.72272,0.66003,0.70206,0.32118,0.81141,3.47847,0.73445,0.0045545,0.0045545,0.0045545
11,1584.55,1.68983,1.46063,1.44243,0.71801,0.68988,0.72342,0.33111,0.79872,4.64668,0.72925,0.004505,0.004505,0.004505
12,1722.61,1.67212,1.43843,1.44286,0.72369,0.67496,0.73216,0.33586,0.81444,2.43273,0.72712,0.0044555,0.0044555,0.0044555
13,1860.26,1.65502,1.39607,1.42155,0.7878,0.72139,0.78416,0.36606,0.79144,1.33862,0.70872,0.004406,0.004406,0.004406
14,2000.32,1.64299,1.35942,1.40662,0.76442,0.72644,0.78309,0.38764,0.77404,2.276,0.70278,0.0043565,0.0043565,0.0043565
15,2138.84,1.63705,1.33359,1.402,0.81125,0.73415,0.79272,0.39421,0.7768,1.42071,0.70119,0.004307,0.004307,0.004307
16,2278.99,1.63041,1.32381,1.39983,0.7852,0.71808,0.78853,0.38905,0.77414,1.36887,0.69747,0.0042575,0.0042575,0.0042575
17,2417.04,1.60035,1.28415,1.37597,0.74409,0.73798,0.78051,0.38804,0.77336,2.38358,0.69613,0.004208,0.004208,0.004208
18,2556.96,1.59389,1.27954,1.37146,0.81263,0.73466,0.81065,0.39095,0.77456,1.53442,0.69406,0.0041585,0.0041585,0.0041585
19,2694.73,1.592,1.26475,1.36062,0.80734,0.72471,0.81457,0.39701,0.76056,2.60568,0.68429,0.004109,0.004109,0.004109
20,2835.45,1.57387,1.22958,1.3583,0.80338,0.75456,0.82083,0.42312,0.76031,1.53815,0.68536,0.0040595,0.0040595,0.0040595
21,2976.2,1.56636,1.21696,1.34671,0.82083,0.72179,0.81192,0.41999,0.74286,1.30143,0.67232,0.00401,0.00401,0.00401
22,3116.58,1.55037,1.19203,1.34601,0.80234,0.7728,0.83527,0.41559,0.77683,1.40223,0.69091,0.0039605,0.0039605,0.0039605
23,3256.55,1.52924,1.16678,1.33123,0.83696,0.80026,0.85877,0.42737,0.76915,1.23702,0.68151,0.003911,0.003911,0.003911
24,3394.57,1.5297,1.15909,1.32289,0.83384,0.76566,0.83255,0.42713,0.75096,1.04997,0.67368,0.0038615,0.0038615,0.0038615
25,3534.56,1.51751,1.15004,1.31893,0.85545,0.75124,0.85107,0.45282,0.72344,0.87755,0.65747,0.003812,0.003812,0.003812
26,3676.9,1.50739,1.13753,1.31979,0.8236,0.80527,0.85424,0.43949,0.76335,0.89074,0.68104,0.0037625,0.0037625,0.0037625
27,3820.58,1.49081,1.1147,1.30618,0.84441,0.81426,0.85008,0.4488,0.73913,1.37243,0.66771,0.003713,0.003713,0.003713
28,3962.18,1.48486,1.09664,1.29128,0.86176,0.80634,0.8786,0.45408,0.74043,1.04227,0.65918,0.0036635,0.0036635,0.0036635
29,4104.61,1.48178,1.08758,1.29972,0.87822,0.78939,0.85444,0.45597,0.73514,0.86205,0.66336,0.003614,0.003614,0.003614
30,4246.68,1.47737,1.0722,1.29285,0.85466,0.79934,0.86195,0.46642,0.72057,0.95078,0.65406,0.0035645,0.0035645,0.0035645
31,4388.93,1.45974,1.0538,1.28641,0.8723,0.83085,0.87757,0.46988,0.73135,0.86528,0.66389,0.003515,0.003515,0.003515
32,4527.83,1.46304,1.04788,1.28365,0.88508,0.81744,0.87966,0.46676,0.7336,0.77992,0.66444,0.0034655,0.0034655,0.0034655
33,4671.07,1.44279,1.04749,1.27663,0.84626,0.81426,0.8727,0.4723,0.71713,1.15717,0.65078,0.003416,0.003416,0.003416
34,4813.52,1.42411,1.03247,1.26426,0.84618,0.8302,0.87861,0.48174,0.71474,0.9968,0.65158,0.0033665,0.0033665,0.0033665
35,4955.41,1.42573,1.01593,1.26126,0.88431,0.83085,0.88571,0.47917,0.7196,0.7806,0.65677,0.003317,0.003317,0.003317
36,5095.08,1.41959,1.0066,1.25705,0.86049,0.83085,0.88588,0.4699,0.7177,0.95214,0.66124,0.0032675,0.0032675,0.0032675
37,5236.09,1.41655,1.00397,1.25399,0.86133,0.84577,0.89629,0.48103,0.71434,0.6635,0.65145,0.003218,0.003218,0.003218
38,5378.75,1.39876,0.98425,1.24282,0.88288,0.81258,0.88267,0.47735,0.71083,0.66299,0.65174,0.0031685,0.0031685,0.0031685
39,5520.87,1.39156,0.97419,1.24151,0.86803,0.84743,0.89986,0.48503,0.71841,0.65016,0.64776,0.003119,0.003119,0.003119
40,5664.17,1.38867,0.96649,1.24045,0.86121,0.83355,0.8865,0.48786,0.71066,0.74417,0.6488,0.0030695,0.0030695,0.0030695
41,5805.08,1.38636,0.97285,1.23198,0.84724,0.85075,0.89014,0.48768,0.70553,0.58886,0.6466,0.00302,0.00302,0.00302
42,5946.65,1.37249,0.95481,1.2328,0.86942,0.83914,0.89234,0.48502,0.71579,0.65309,0.6521,0.0029705,0.0029705,0.0029705
43,6089.17,1.37564,0.94415,1.23291,0.86504,0.82421,0.88889,0.48969,0.70594,0.61606,0.64557,0.002921,0.002921,0.002921
44,6229.96,1.35782,0.93493,1.22286,0.85466,0.82891,0.88903,0.50206,0.69649,0.72715,0.64014,0.0028715,0.0028715,0.0028715
45,6371.69,1.34427,0.9308,1.2181,0.86242,0.82421,0.89049,0.49053,0.71905,0.61909,0.65269,0.002822,0.002822,0.002822
46,6512.8,1.342,0.93148,1.21283,0.86626,0.83416,0.88595,0.49793,0.70293,0.70902,0.64825,0.0027725,0.0027725,0.0027725
47,6653.93,1.34443,0.92005,1.20859,0.87608,0.83243,0.89469,0.49888,0.7038,0.5554,0.64552,0.002723,0.002723,0.002723
48,6794.45,1.33615,0.91339,1.21316,0.86375,0.83055,0.88692,0.5017,0.69946,0.62242,0.6332,0.0026735,0.0026735,0.0026735
49,6936.47,1.33162,0.90147,1.2036,0.88201,0.84245,0.89152,0.49863,0.68813,0.59823,0.63575,0.002624,0.002624,0.002624
50,7078.21,1.32807,0.90139,1.19807,0.87194,0.8325,0.88914,0.49995,0.68854,0.72753,0.63488,0.0025745,0.0025745,0.0025745
51,7220.35,1.30804,0.88885,1.19529,0.86444,0.83914,0.88625,0.4972,0.69373,0.71093,0.63784,0.002525,0.002525,0.002525
52,7363.03,1.31239,0.88744,1.19166,0.86409,0.85406,0.89215,0.50419,0.69201,0.58982,0.63543,0.0024755,0.0024755,0.0024755
53,7505.18,1.29966,0.87055,1.19035,0.87075,0.84909,0.89088,0.49763,0.69483,0.643,0.63981,0.002426,0.002426,0.002426
54,7643.21,1.28776,0.8645,1.18279,0.87495,0.8524,0.89579,0.49541,0.70216,0.68078,0.64797,0.0023765,0.0023765,0.0023765
55,7781.39,1.28337,0.86433,1.17934,0.87317,0.8524,0.89567,0.50342,0.69284,0.6645,0.64217,0.002327,0.002327,0.002327
56,7922.11,1.28945,0.85067,1.17728,0.89231,0.84577,0.90274,0.49947,0.69362,0.64108,0.63901,0.0022775,0.0022775,0.0022775
57,8062.46,1.2722,0.85196,1.16813,0.8873,0.84577,0.90155,0.50191,0.69279,0.5654,0.64093,0.002228,0.002228,0.002228
58,8201.37,1.26998,0.85122,1.16598,0.87238,0.8524,0.90098,0.50473,0.69039,0.61603,0.64113,0.0021785,0.0021785,0.0021785
59,8343.3,1.24964,0.82638,1.15614,0.88165,0.84011,0.90444,0.50703,0.69033,0.58646,0.64194,0.002129,0.002129,0.002129
60,8482.39,1.25413,0.82963,1.1629,0.89132,0.83914,0.90742,0.50845,0.68596,0.53518,0.6402,0.0020795,0.0020795,0.0020795
61,8621.14,1.23923,0.82442,1.15137,0.88179,0.85406,0.91006,0.5093,0.69115,0.54542,0.64323,0.00203,0.00203,0.00203
62,8762.36,1.23917,0.81936,1.15138,0.87613,0.85075,0.90772,0.50749,0.69168,0.46266,0.64572,0.0019805,0.0019805,0.0019805
63,8907.09,1.23488,0.81333,1.15,0.88828,0.84577,0.90883,0.51005,0.6906,0.52646,0.63923,0.001931,0.001931,0.001931
64,9045.39,1.23483,0.81008,1.15133,0.88214,0.8316,0.90323,0.50715,0.69002,0.55097,0.63853,0.0018815,0.0018815,0.0018815
65,9187.02,1.22899,0.79922,1.14607,0.87984,0.83582,0.90546,0.51247,0.69023,0.60901,0.63801,0.001832,0.001832,0.001832
66,9328.71,1.20586,0.78697,1.13991,0.89177,0.84577,0.91089,0.51129,0.68967,0.54984,0.63743,0.0017825,0.0017825,0.0017825
67,9469.1,1.20734,0.78432,1.14022,0.88636,0.85904,0.90851,0.51341,0.69302,0.51657,0.64178,0.001733,0.001733,0.001733
68,9610.29,1.20983,0.78714,1.13199,0.88237,0.84909,0.90563,0.51176,0.68861,0.54421,0.64132,0.0016835,0.0016835,0.0016835
69,9751.47,1.19709,0.77489,1.13325,0.8759,0.84909,0.90811,0.51305,0.68678,0.52879,0.64271,0.001634,0.001634,0.001634
70,9893.41,1.19471,0.77111,1.13345,0.88517,0.85572,0.90822,0.51394,0.68585,0.51005,0.64339,0.0015845,0.0015845,0.0015845
71,10034.7,1.18725,0.77201,1.12653,0.88741,0.85572,0.91193,0.5138,0.68501,0.48542,0.63998,0.001535,0.001535,0.001535
72,10175.4,1.18021,0.76336,1.12421,0.89221,0.84245,0.91044,0.51352,0.68652,0.46023,0.64178,0.0014855,0.0014855,0.0014855
73,10317.2,1.17036,0.75329,1.12019,0.88524,0.84427,0.90994,0.51518,0.68839,0.45609,0.64807,0.001436,0.001436,0.001436
74,10457.1,1.15686,0.73942,1.11599,0.87478,0.85904,0.90456,0.51591,0.68574,0.45317,0.64388,0.0013865,0.0013865,0.0013865
75,10598.6,1.15881,0.74996,1.10966,0.89142,0.8607,0.91401,0.51726,0.68337,0.44693,0.64157,0.001337,0.001337,0.001337
76,10740.4,1.16002,0.74018,1.11694,0.89197,0.85738,0.91245,0.52025,0.68282,0.42597,0.642,0.0012875,0.0012875,0.0012875
77,10884.1,1.14532,0.73323,1.10711,0.89183,0.86235,0.91386,0.51925,0.68292,0.41022,0.64138,0.001238,0.001238,0.001238
78,11025,1.14274,0.72937,1.10664,0.88351,0.85526,0.90787,0.51952,0.68234,0.40707,0.64131,0.0011885,0.0011885,0.0011885
79,11168.4,1.13457,0.72247,1.1015,0.89325,0.86235,0.91015,0.51931,0.67991,0.40699,0.63702,0.001139,0.001139,0.001139
80,11310,1.12995,0.71578,1.0955,0.87988,0.8607,0.9061,0.51847,0.68085,0.41348,0.63722,0.0010895,0.0010895,0.0010895
81,11452.2,1.13529,0.7209,1.10243,0.89491,0.84736,0.9061,0.51673,0.68083,0.4149,0.63715,0.00104,0.00104,0.00104
82,11594.7,1.11701,0.70048,1.09049,0.8934,0.84781,0.907,0.51852,0.6814,0.41894,0.63739,0.0009905,0.0009905,0.0009905
83,11735.8,1.12484,0.71575,1.09448,0.89196,0.84883,0.90597,0.51849,0.68176,0.42649,0.63692,0.000941,0.000941,0.000941
84,11878.6,1.11157,0.69899,1.08514,0.89256,0.84743,0.90532,0.51891,0.68195,0.42532,0.63717,0.0008915,0.0008915,0.0008915
85,12023.5,1.0933,0.69539,1.08369,0.89505,0.84857,0.90527,0.51712,0.68322,0.42787,0.63844,0.000842,0.000842,0.000842
86,12165.8,1.09397,0.6945,1.07939,0.88882,0.84848,0.90323,0.51748,0.68353,0.42874,0.63992,0.0007925,0.0007925,0.0007925
